Age,WorkClass,FinalWeight,Education,EducationLvl,MaritalStatus,Occupation,Relationship,Race,Sex,CapitalGain,CapitalLoss,HoursPerWeek,NativeCountry,IncomeBracket
25,Private,197871,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<50K
45,Private,175625,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,38,United-States,<50K
40,Private,271393,Assoc-acdm,12,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<50K
42,Self-emp-not-inc,320744,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,3908,0,45,United-States,<50K
30,Private,186145,Bachelors,13,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,<50K
44,Private,191256,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,65,United-States,50-100K
39,Private,150057,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,United-States,50-100K
19,Private,162954,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,30,United-States,<50K
28,Private,167789,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,60,United-States,<50K
41,Private,287037,Some-college,10,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,<50K
33,Private,175856,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>100K
18,,118847,HS-grad,9,Never-married,,Own-child,White,Female,0,0,24,United-States,<50K
22,Private,50058,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States,<50K
24,Private,479296,9th,5,Never-married,Sales,Own-child,White,Male,0,0,48,United-States,<50K
25,Local-gov,197728,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,20,United-States,<50K
54,Self-emp-not-inc,105010,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,50-100K
21,Private,198259,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,30,United-States,<50K
33,Private,231826,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Mexico,<50K
31,Private,43716,Assoc-voc,11,Divorced,Machine-op-inspct,Unmarried,White,Male,0,0,43,United-States,<50K
30,Private,123833,9th,5,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<50K
28,Private,232653,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<50K
49,Private,27898,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,55,United-States,>100K
36,Private,245090,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,3137,0,50,El-Salvador,<50K
20,Self-emp-not-inc,217404,10th,6,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<50K
28,Private,60288,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<50K
37,Private,89718,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,<50K
25,Private,241626,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,30,United-States,<50K
17,Private,19752,11th,7,Never-married,Other-service,Own-child,Black,Female,0,0,25,United-States,<50K
65,Private,243569,Some-college,10,Widowed,Other-service,Unmarried,White,Female,0,0,24,United-States,<50K
57,Private,113090,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,50-100K
29,Private,184806,Assoc-acdm,12,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,<50K
35,Private,322171,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,50-100K
67,Private,105216,Some-college,10,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,16,United-States,<50K
52,Federal-gov,125796,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Black,Male,0,0,40,United-States,<50K
41,Self-emp-inc,139916,Assoc-voc,11,Married-civ-spouse,Sales,Husband,Other,Male,0,2179,84,Mexico,<50K
46,Self-emp-not-inc,122206,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<50K
34,Private,56026,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,50-100K
54,Private,100933,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<50K
41,Private,144778,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<50K
59,Local-gov,176118,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,>100K
44,Private,376072,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,United-States,50-100K
53,Local-gov,135102,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,2002,45,United-States,<50K
28,Private,115677,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1902,40,United-States,>100K
40,Private,32185,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,44,United-States,<50K
30,Private,206046,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1848,40,United-States,>100K
57,Self-emp-not-inc,287229,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,United-States,>100K
66,State-gov,132055,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1825,40,United-States,50-100K
32,Federal-gov,42900,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,50,United-States,50-100K
74,Self-emp-inc,162340,Some-college,10,Widowed,Exec-managerial,Unmarried,White,Male,0,0,40,United-States,<50K
42,Private,200574,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<50K
45,Private,228570,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,35,United-States,<50K
30,Private,213714,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<50K
47,Self-emp-not-inc,185673,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>100K
27,Private,357348,HS-grad,9,Separated,Other-service,Unmarried,White,Female,0,0,50,United-States,<50K
43,Private,200355,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,70,United-States,>100K
33,Private,238912,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>100K
32,Private,169512,Bachelors,13,Married-civ-spouse,Sales,Husband,Black,Male,0,0,60,United-States,50-100K
39,Self-emp-not-inc,263081,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,50,United-States,<50K
58,Private,156873,11th,7,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,35,United-States,<50K
59,Private,176011,Some-college,10,Separated,Adm-clerical,Unmarried,White,Male,0,0,40,United-States,<50K
33,Private,460408,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Mexico,<50K
31,Private,382583,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Black,Male,0,0,40,United-States,<50K
37,Private,160192,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Male,6849,0,80,United-States,<50K
46,Private,268022,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,,50-100K
37,Private,198097,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<50K
48,Private,178313,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,<50K
37,Private,172232,HS-grad,9,Divorced,Other-service,Not-in-family,Black,Female,0,0,30,United-States,<50K
29,State-gov,51461,Assoc-acdm,12,Never-married,Tech-support,Not-in-family,White,Male,0,0,45,United-States,<50K
57,Private,124318,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,45,United-States,<50K
57,Federal-gov,425161,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,15024,0,40,United-States,50-100K
28,Private,226891,Some-college,10,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0,0,30,,<50K
36,Private,282092,Assoc-acdm,12,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<50K
22,Private,61850,Masters,14,Never-married,Sales,Other-relative,White,Female,0,0,21,United-States,<50K
19,Private,164320,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<50K
36,State-gov,112074,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States,<50K
43,Local-gov,169203,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States,<50K
49,Local-gov,177114,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,60,United-States,<50K
63,,321403,9th,5,Separated,,Not-in-family,Black,Male,0,0,40,United-States,<50K
52,Private,55608,1st-4th,2,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,<50K
37,Private,42645,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<50K
34,Private,193565,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<50K
35,Private,297574,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,99,United-States,50-100K
47,Private,85109,Some-college,10,Never-married,Sales,Not-in-family,White,Male,13550,0,45,United-States,50-100K
46,Private,150499,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<50K
17,Private,188996,9th,5,Never-married,Sales,Not-in-family,White,Female,0,0,30,United-States,<50K
35,Federal-gov,205584,5th-6th,3,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,Mexico,<50K
40,State-gov,114714,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,40,Taiwan,50-100K
45,Self-emp-not-inc,305474,10th,6,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,Haiti,<50K
33,Private,233149,12th,8,Divorced,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<50K
49,,227690,HS-grad,9,Divorced,,Not-in-family,White,Female,0,0,40,United-States,<50K
35,Private,143385,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<50K
32,Private,226975,Some-college,10,Never-married,Sales,Own-child,White,Male,0,1876,60,United-States,<50K
40,Private,45687,Some-college,10,Divorced,Other-service,Not-in-family,Black,Male,4787,0,50,United-States,50-100K
61,State-gov,31577,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,30,United-States,<50K
29,Private,282389,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,70,United-States,<50K
17,Private,198830,11th,7,Never-married,Adm-clerical,Other-relative,White,Female,0,0,10,United-States,<50K
45,Private,297676,Assoc-acdm,12,Widowed,Sales,Unmarried,White,Female,0,0,40,Cuba,<50K
43,Private,343591,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,50,United-States,<50K
35,Private,297767,Some-college,10,Separated,Adm-clerical,Not-in-family,Black,Male,0,0,40,United-States,<50K
57,Private,257200,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>100K
52,Private,170562,12th,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<50K
35,Private,170195,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,50-100K
23,Private,407684,9th,5,Never-married,Machine-op-inspct,Other-relative,White,Female,0,0,40,Mexico,<50K
52,Private,166419,Some-college,10,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,37,United-States,<50K
34,Self-emp-not-inc,112650,7th-8th,4,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<50K
52,Private,260954,10th,6,Widowed,Machine-op-inspct,Unmarried,Black,Female,0,0,40,United-States,<50K
34,Self-emp-inc,513977,HS-grad,9,Divorced,Craft-repair,Not-in-family,Black,Male,0,0,50,United-States,<50K
31,Self-emp-not-inc,162551,12th,8,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,0,0,50,,<50K
40,Private,220589,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<50K
31,Private,231263,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,4650,0,45,United-States,<50K
52,Local-gov,140027,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,0,0,20,United-States,<50K
34,Private,84154,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<50K
57,Self-emp-not-inc,353808,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,50-100K
52,Self-emp-not-inc,155278,10th,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<50K
22,Private,460835,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,55,United-States,<50K
51,Private,338620,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,United-States,>100K
34,Private,340880,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,Philippines,50-100K
43,Private,105936,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,50-100K
39,Self-emp-inc,336226,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,3103,0,60,United-States,>100K
35,Self-emp-not-inc,313132,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,50-100K
18,Private,192254,Some-college,10,Never-married,Sales,Other-relative,White,Female,0,0,15,United-States,<50K
24,Private,153583,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<50K
21,Private,191243,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<50K
37,State-gov,318891,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<50K
33,Local-gov,203051,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,46,United-States,<50K
40,Local-gov,196234,HS-grad,9,Divorced,Craft-repair,Own-child,White,Female,0,0,40,Puerto-Rico,<50K
57,Private,204209,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,3103,0,40,United-States,>100K
19,State-gov,536725,Some-college,10,Never-married,Adm-clerical,Other-relative,White,Female,0,0,15,Japan,<50K
26,Private,182390,11th,7,Separated,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States,<50K
47,Private,255965,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,50,United-States,50-100K
27,Private,194759,Assoc-acdm,12,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<50K
27,Private,189462,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,1504,45,United-States,<50K
31,,26553,Bachelors,13,Married-civ-spouse,,Wife,White,Female,0,0,25,United-States,>100K
35,Private,90406,11th,7,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,<50K
25,Private,318644,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States,<50K
55,Self-emp-inc,298449,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2179,60,United-States,<50K
17,,297117,11th,7,Never-married,,Own-child,White,Female,0,0,40,United-States,<50K
48,Private,158924,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,50-100K
39,Private,340091,Some-college,10,Separated,Other-service,Unmarried,White,Female,0,0,75,United-States,<50K
53,Private,107123,HS-grad,9,Divorced,Other-service,Not-in-family,Black,Male,0,0,40,United-States,<50K
56,Local-gov,294623,5th-6th,3,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<50K
21,Private,159567,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,50,United-States,<50K
31,,672412,11th,7,Separated,,Not-in-family,Black,Male,0,0,40,United-States,<50K
67,Self-emp-not-inc,106143,Doctorate,16,Married-civ-spouse,Sales,Husband,White,Male,20051,0,40,United-States,50-100K
34,Federal-gov,117362,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<50K
26,State-gov,92795,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,80,United-States,<50K
32,Private,288273,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,70,Mexico,<50K
42,Self-emp-inc,282069,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<50K
44,Private,106900,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,68,United-States,<50K
53,Private,190319,Bachelors,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,1485,40,Thailand,>100K
40,Private,146908,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,40,United-States,>100K
49,Local-gov,199378,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<50K
46,Private,403911,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,50-100K
63,Private,106023,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>100K
25,Private,194897,HS-grad,9,Never-married,Sales,Own-child,Amer-Indian-Eskimo,Male,6849,0,40,United-States,<50K
26,Private,171114,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<50K
45,Private,184277,Assoc-voc,11,Divorced,Adm-clerical,Unmarried,White,Female,0,0,55,United-States,50-100K
41,Self-emp-not-inc,238184,HS-grad,9,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,0,40,United-States,<50K
48,Federal-gov,94342,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,<50K
34,Private,356882,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,>100K
20,Private,117767,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<50K
21,Private,300812,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,25,United-States,<50K
49,Private,81973,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,50-100K
42,Private,126094,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<50K
40,Private,177027,Bachelors,13,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,7688,0,52,Japan,50-100K
42,Self-emp-not-inc,206066,Masters,14,Never-married,Prof-specialty,Own-child,White,Male,0,0,45,United-States,<50K
63,,166425,Some-college,10,Widowed,,Not-in-family,Black,Female,0,0,24,United-States,<50K
41,Private,36699,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,4650,0,40,United-States,<50K
43,Private,172256,Bachelors,13,Divorced,Sales,Unmarried,White,Female,0,0,50,United-States,<50K
25,State-gov,156848,HS-grad,9,Married-civ-spouse,Protective-serv,Own-child,White,Male,0,0,35,United-States,<50K
45,Private,187563,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,5013,0,45,United-States,<50K
43,Private,160943,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,United-States,>100K
50,Private,474229,HS-grad,9,Divorced,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<50K
65,Private,444725,Prof-school,15,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,0,0,48,Hungary,50-100K
20,,133515,Some-college,10,Never-married,,Own-child,White,Female,0,0,15,France,<50K
47,Private,263984,Some-college,10,Married-spouse-absent,Exec-managerial,Not-in-family,Black,Male,0,0,40,,<50K
33,Private,115496,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,50-100K
30,Federal-gov,266463,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,50-100K
19,Self-emp-not-inc,139278,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,<50K
18,Private,186909,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,16,United-States,<50K
22,Private,199915,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,10,United-States,<50K
25,Private,174592,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,25,United-States,<50K
29,Private,157612,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,3325,0,45,United-States,<50K
33,State-gov,163110,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,20,United-States,<50K
34,Private,105493,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<50K
40,Private,131899,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<50K
29,Private,184806,Prof-school,15,Never-married,Prof-specialty,Other-relative,White,Male,0,0,50,United-States,<50K
28,Self-emp-not-inc,70100,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,60,United-States,<50K
65,Private,195568,Some-college,10,Widowed,Machine-op-inspct,Not-in-family,White,Female,0,0,20,United-States,<50K
29,Local-gov,289991,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<50K
31,Private,651396,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,1594,30,United-States,<50K
22,State-gov,124942,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,45,United-States,<50K
31,Private,137290,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,50-100K
22,Private,186849,11th,7,Divorced,Sales,Own-child,White,Male,0,0,50,United-States,<50K
21,Private,189013,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,35,United-States,<50K
24,Private,198259,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,United-States,<50K
19,Private,323605,7th-8th,4,Never-married,Other-service,Not-in-family,White,Male,0,0,60,United-States,50-100K
19,Private,174732,Some-college,10,Never-married,Other-service,Own-child,Black,Male,0,0,25,United-States,<50K
23,Private,399022,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,35,United-States,<50K
25,Private,86872,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,>100K
47,Self-emp-not-inc,104489,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,50-100K
33,Self-emp-not-inc,94041,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,1974,30,United-States,<50K
34,Private,297094,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,<50K
58,Self-emp-not-inc,248841,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,15024,0,40,United-States,>100K
38,Local-gov,252250,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,56,United-States,>100K
30,Private,153876,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,53,United-States,<50K
34,Private,181388,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<50K
33,Private,79923,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>100K
25,Private,250038,Masters,14,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,0,0,40,Mexico,<50K
35,Local-gov,191779,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,50-100K
39,Private,237943,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,Male,0,1726,40,United-States,<50K
33,Private,84130,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<50K
40,Private,225823,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,<50K
71,Private,150943,Bachelors,13,Widowed,Exec-managerial,Other-relative,White,Female,0,0,40,United-States,<50K
40,State-gov,287008,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<50K
24,Local-gov,69640,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Male,0,0,40,United-States,<50K
28,Private,130856,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>100K
28,Private,155621,5th-6th,3,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,Columbia,<50K
54,Private,205337,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,50-100K
39,Local-gov,143385,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<50K
34,Private,226525,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,<50K
31,Private,61308,10th,6,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<50K
33,Self-emp-not-inc,137674,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,United-States,<50K
26,Private,208881,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,42,United-States,<50K
64,Self-emp-not-inc,30664,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,30,United-States,<50K
59,Private,151977,10th,6,Separated,Priv-house-serv,Not-in-family,Black,Female,0,0,30,United-States,<50K
38,Private,372525,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,45,United-States,50-100K
38,State-gov,346766,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<50K
